main_category,sub_category,siteName,name,price,img,link,hash_tag
가방,클러치,카네이테이,브리즈 (블랙),79000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1558146929463_1000.jpg,https://www.kaneitei.com/product/BREEZEBLACK,null
가방,클러치,카네이테이,폼 (머스타드),9000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1589243950182_1000.jpg,https://www.kaneitei.com/product/pom_mstd,null
가방,클러치,카네이테이,폼 (카키),9000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1589244576478_1000.jpg,https://www.kaneitei.com/product/pom_kk,null
가방,클러치,카네이테이,폼 (그레이),9000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1589243512089_1000.jpg,https://www.kaneitei.com/product/pom_gr,null
가방,클러치,카네이테이,폼 (블랙),9000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1589243179659_1000.jpg,https://www.kaneitei.com/product/pom_bk,null
가방,백팩,카네이테이,메이슨 (카키) M,155000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1613717549498_1000.jpg,https://www.kaneitei.com/product/mason_m,null
가방,백팩,카네이테이,메이슨 (카키) L,178000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1613717313750_1000.jpg,https://www.kaneitei.com/product/mason_l,null
가방,백팩,카네이테이,메이슨 (카키) XL,239000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1613716339256_1000.jpg,https://www.kaneitei.com/product/mason_xl,null
가방,백팩,카네이테이,오리온 (카키),169000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1613717046216_1000.jpg,https://www.kaneitei.com/product/orion,null
가방,백팩,카네이테이,보헤미안 (베이지),139000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1603018010832_1000.jpg,https://www.kaneitei.com/product/bohemian_bg,null
가방,백팩,카네이테이,보헤미안 (그레이),139000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1603018033125_1000.jpg,https://www.kaneitei.com/product/bohemian_gray,null
가방,백팩,카네이테이,보헤미안 (블랙),139000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1603018049761_1000.jpg,https://www.kaneitei.com/product/bohemian_Black,null
가방,백팩,카네이테이,보헤미안 (카키),338000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1603018088645_1000.jpg,https://www.kaneitei.com/product/bohemian_tent,null
가방,백팩,카네이테이,보헤미안 (카모플라쥬),139000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1603018070492_1000.jpg,https://www.kaneitei.com/product/bohemian_camo,null
가방,백팩,카네이테이,콘크리트 (카키),188000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1603257478728_1000.jpg,https://www.kaneitei.com/product/backpack,null
가방,백팩,카네이테이,콘크리트 (올리브),188000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1603257496835_1000.jpg,https://www.kaneitei.com/product/concrete_olive,null
가방,백팩,카네이테이,베니 (카키),119000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1558146499255_1000.jpg,https://www.kaneitei.com/product/benny,null
가방,백팩,카네이테이,템플 (카모플라쥬),79000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1589272919304_1000.jpg,https://www.kaneitei.com/product/temple_camo,null
가방,백팩,카네이테이,템플 (카키),79000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1589273171527_1000.jpg,https://www.kaneitei.com/product/temple,null
가방,백팩,카네이테이,아키 (카키),139000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1558144584002_1000.jpg,https://www.kaneitei.com/product/Aki,null
가방,백팩,카네이테이,레옹 (카키),79000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1598317778775_1000.jpg,https://www.kaneitei.com/product/leon,null
가방,백팩,카네이테이,타임즈 (카키),149000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1611555091580_1000.jpg,https://www.kaneitei.com/product/times,null
가방,백팩,카네이테이,타임즈 (카모플라쥬),69000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1603018227218_1000.jpg,https://www.kaneitei.com/product/times_camo,null
가방,백팩,카네이테이,타임즈 (블랙),69000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1614847577658_1000.jpg,https://www.kaneitei.com/product/times_bk,null
가방,백팩,카네이테이,소일 (카키),238000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1603258045943_1000.jpg,https://www.kaneitei.com/product/Soil,null
가방,백팩,카네이테이,웨일 (카키),288000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1603258640268_1000.jpg,https://www.kaneitei.com/product/Whale,null
가방,백팩,카네이테이,암스테르담 (카키),238000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1607857929474_1000.jpg,https://www.kaneitei.com/product/amsterdam,null
가방,백팩,카네이테이,코기토 (카키) M,259000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1614749489377_1000.jpg,https://www.kaneitei.com/product/cogito_m,null
가방,백팩,카네이테이,코기토 (카키) L,289000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1614749507294_1000.jpg,https://www.kaneitei.com/product/cogito_l,null
가방,백팩,카네이테이,바이퍼 (카키),289000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1603258335641_1000.jpg,https://www.kaneitei.com/product/viper,null
가방,백팩,카네이테이,마리아 (카키) L,336000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1603259172589_1000.jpg,https://www.kaneitei.com/product/maria_l,null
가방,백팩,카네이테이,마리아 (카키) XL,548000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1603259197333_1000.jpg,https://www.kaneitei.com/product/maria700,null
가방,백팩,카네이테이,마틸다 (카키) M,138000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1603261029073_1000.jpg,https://www.kaneitei.com/product/mathilda_m,null
가방,백팩,카네이테이,마틸다 (카키) L,169000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1603261057155_1000.jpg,https://www.kaneitei.com/product/mathilda_l,null
가방,백팩,카네이테이,아모 (카키) L,498000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1603262773331_1000.jpg,https://www.kaneitei.com/product/ammo300,null
가방,백팩,카네이테이,아모박스 (카키),218000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1603260682321_1000.jpg,https://www.kaneitei.com/product/ammobox,null
가방,백팩,카네이테이,가라지 (카모플라쥬),79000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1603260020953_1000.jpg,https://www.kaneitei.com/product/garage_camo,null
가방,백팩,카네이테이,가라지 (블랙),79000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1603260036079_1000.jpg,https://www.kaneitei.com/product/garage_black,null
가방,백팩,카네이테이,시조 (카키),168000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1603260989849_1000.jpg,https://www.kaneitei.com/product/Schizo,null
가방,백팩,카네이테이,어스 (카키),219000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1603259669395_1000.jpg,https://www.kaneitei.com/product/earth,null
가방,백팩,카네이테이,에어 (카키) L,339000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1603262800257_1000.jpg,https://www.kaneitei.com/product/air_l,null
가방,백팩,카네이테이,프레그먼트 (카키),498000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1603263315367_1000.jpg,https://www.kaneitei.com/product/fragmenttent,null
가방,백팩,카네이테이,프레그먼트 (블랙),356000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1603263331833_1000.jpg,https://www.kaneitei.com/product/fragment,null
가방,백팩,카네이테이,[KANEITEI X UMB] 샤코슈 (카키),59000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1610950776398_1000.jpg,https://www.kaneitei.com/product/sacoche_khaki,null
가방,백팩,카네이테이,[KANEITEI X UMB] 샤코슈 (화이트),59000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1610855495041_1000.jpg,https://www.kaneitei.com/product/sacoche_white,null
가방,백팩,카네이테이,[KANEITEI X UMB] 샤코슈 (블랙),59000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1610950590944_1000.jpg,https://www.kaneitei.com/product/sacoche_black,null
가방,백팩,카네이테이,[KANEITEI X UMB] 덴커,219000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1610953051893_1000.jpg,https://www.kaneitei.com/product/danker,null
의류,신발,카네이테이,톱니고리 스트랩 (블랙),7500원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1621932814322_1000.jpg,https://www.kaneitei.com/product/strap_black_01,null
의류,신발,카네이테이,후크,33000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1585550600768_1000.jpg,https://www.kaneitei.com/product/HookNecklace,null
의류,신발,카네이테이,[KANEITEI X UMB] 인도어 빈티지 트레이너 (화이트),159000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1610950309796_1000.jpg,https://www.kaneitei.com/product/indoor_vintage_trainer_white,null
의류,신발,카네이테이,[KANEITEI X UMB] 인도어 빈티지 트레이너 (카키),159000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1610949964644_1000.jpg,https://www.kaneitei.com/product/indoor_vintage_trainer_khaki,null
의류,신발,카네이테이,[KANEITEI X UMB] 버킷햇 (카키),69000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1610949711560_1000.jpg,https://www.kaneitei.com/product/buckethat_khaki,null
의류,신발,카네이테이,[KANEITEI X UMB] 버킷햇 (블랙),69000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1610949518945_1000.jpg,https://www.kaneitei.com/product/buckethat_black,null
의류,상의,카네이테이,긴자(페이즐리),99000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1621940950121_1000.jpg,https://www.kaneitei.com/product/ginza_paisely_grey,null
의류,상의,카네이테이,[KANEITEI X UMB] 로고 긴팔티 (그레이),75000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1610949000226_1000.jpg,https://www.kaneitei.com/product/long_t-shirt_grey,null
의류,상의,카네이테이,[KANEITEI X UMB] 로고 긴팔티 (블랙),75000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1610949094538_1000.jpg,https://www.kaneitei.com/product/long_t-shirt_black,null
의류,상의,카네이테이,[KANEITEI X UMB] 스텐애리 아노락 자켓 (카키),159000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1610954536720_1000.jpg,https://www.kaneitei.com/product/anorak_khaki,null
의류,상의,카네이테이,[KANEITEI X UMB] 스텐애리 아노락 자켓 (블랙),159000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1610947619775_1000.jpg,https://www.kaneitei.com/product/anorak_black,null
의류,상의,카네이테이,[KANEITEI X UMB] 배색 카고팬츠 (카키),129000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1610947332236_1000.jpg,https://www.kaneitei.com/product/cargopants_khaki,null
의류,상의,카네이테이,[KANEITEI X UMB] 배색 카고팬츠 (블랙),129000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1610946650856_1000.jpg,https://www.kaneitei.com/product/cargopants_black,null
의류,상의,카네이테이,카르마 (네이비),239000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1613700158454_1000.jpg,https://www.kaneitei.com/product/karma_navy,null
의류,상의,카네이테이,카르마 (블랙),239000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1613700951074_1000.jpg,https://www.kaneitei.com/product/karma_black,null
의류,상의,카네이테이,카르마 (베이지),239000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1613700537203_1000.jpg,https://www.kaneitei.com/product/karma_beige,null
의류,상의,카네이테이,카르마 (스트라이프),239000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1613701894004_1000.jpg,https://www.kaneitei.com/product/karma_stripe,null
의류,상의,카네이테이,젠 (화이트),149000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1613699312011_1000.jpg,https://www.kaneitei.com/product/zen_white,null
의류,상의,카네이테이,젠 (블랙),149000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1613699577363_1000.jpg,https://www.kaneitei.com/product/zen_black,null
의류,상의,카네이테이,젠 (체크),149000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1613699766753_1000.jpg,https://www.kaneitei.com/product/zen_check,null
의류,상의,카네이테이,웨이스티드 자켓 (머스타드),189000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1613698191454_1000.jpg,https://www.kaneitei.com/product/wasted_jacket_mustard,null
의류,상의,카네이테이,웨이스티드 자켓 (블랙),189000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1613697570879_1000.jpg,https://www.kaneitei.com/product/wasted_jacket_black,null
의류,상의,카네이테이,웨이스티드 자켓 (카키),189000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1613698653725_1000.jpg,https://www.kaneitei.com/product/wasted_jacket_khaki,null
의류,상의,카네이테이,코스모 (블루),139000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1615773543875_1000.jpg,https://www.kaneitei.com/product/cosmo_blue,null
의류,상의,카네이테이,코스모 (블랙),139000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1615439699462_1000.jpg,https://www.kaneitei.com/product/cosmo_black,null
의류,상의,카네이테이,심볼8 긴팔티 (베이지),59000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1613695822115_1000.jpg,https://www.kaneitei.com/product/8_long_t-shirt_beige,null
의류,상의,카네이테이,심볼8 긴팔티 (블랙),59000원,https://contents.sixshop.com/thumbnails/uploadedFiles/28069/product/image_1613695444563_1000.jpg,https://www.kaneitei.com/product/8_long_t-shirt_black,null
