main_category,sub_category,siteName,name,price,img,link
잡화,etc,urban.echo,[어반에코] 어반레이지백 / 미니에코백  4color / 천연염색가방,27000원,https://shop-phinf.pstatic.net/20200608_280/1591586128855JFwGi_JPEG/28948462423809300_2096607962.jpg?type=m510,https://smartstore.naver.com/urbanecho/products/4962734544
잡화,etc,urban.echo,"[어반에코] 어반 데일리 파우치, 복주머니, 스트링파우치, 제로웨이스트",7000원,https://shop-phinf.pstatic.net/20200517_40/1589697934915qqNPB_JPEG/27058673544251386_579449124.jpg?type=m510,https://smartstore.naver.com/urbanecho/products/4933380022
잡화,etc,urban.echo,[어반에코] 재사용 커피 필터 (강화소창3겹 /면),5000원,https://shop-phinf.pstatic.net/20200309_26/1583737007963Fa40a_JPEG/21099341531238610_1834228357.jpg?type=m510,https://smartstore.naver.com/urbanecho/products/4844447421
잡화,etc,urban.echo,"[어반에코] 어반 리유저블 패드 제로웨이스트 재사용 화장솜, 코튼패드 (5매)",7000원,https://shop-phinf.pstatic.net/20201110_260/1604972914614V3MSx_JPEG/6108803307045744_1225296157.jpg?type=m510,https://smartstore.naver.com/urbanecho/products/4768993220
주방,etc,urban.echo,[어반에코] 어반 휴대용 스테인레스 스트로우 세트 (파우치+스트로우+세척솔) 제로웨이스트,7200원,https://shop-phinf.pstatic.net/20200707_168/1594099523575s2Lfk_JPEG/31462912090097866_1262732907.jpg?type=m510,https://smartstore.naver.com/urbanecho/products/4745067532
잡화,etc,urban.echo,"[어반에코] 어반 드링크백 /텀블러백 -핸디보틀형 스타일 ,제로웨이스트",11000원,https://shop-phinf.pstatic.net/20200407_34/1586228238590mFzlU_JPEG/23588073126599477_1993116514.jpg?type=m510,https://smartstore.naver.com/urbanecho/products/4731761753
잡화,etc,urban.echo,"[어반에코] 어반 드링크백 /텀블러백 -핸디콜드컵형 스타일, 제로웨이스트",11000원,https://shop-phinf.pstatic.net/20200703_73/1593762139168ONgjK_JPEG/31124472757106990_115551805.jpg?type=m510,https://smartstore.naver.com/urbanecho/products/4731738124
잡화,etc,urban.echo,"[어반에코] 어반 드링크백 /텀블러백 -크로스보틀형 스타일,제로웨이스트",21000원,https://shop-phinf.pstatic.net/20200407_90/15862283493280tx6h_JPEG/23589087959640064_1530193026.jpg?type=m510,https://smartstore.naver.com/urbanecho/products/4731736020
잡화,etc,urban.echo,"[어반에코] 어반 드링크백 /텀블러백 -크로스 콜드컵형 스타일, 제로웨이스트",21000원,https://shop-phinf.pstatic.net/20191128_208/1574930412906FsEiL_JPEG/12290247449046008_1102209810.jpg?type=m510,https://smartstore.naver.com/urbanecho/products/4731729624
잡화,etc,밀키프로젝트,milky Frame DIY kit (밀키프로젝트/밀키프레임 종이액자+캘린더 키트),17600원,https://shop-phinf.pstatic.net/20210120_23/1611070414136FmPa9_JPEG/12206197793733029_1193223135.JPG?type=m510,https://smartstore.naver.com/milkyproject/products/5345569833
잡화,etc,밀키프로젝트,milky CUBE DIY kit (밀키프로젝트/밀키큐브 미니소품상자 키트),9900원,https://shop-phinf.pstatic.net/20200819_18/1597778163889Vjo6e_JPEG/35137998191450386_128614630.JPG?type=m510,https://smartstore.naver.com/milkyproject/products/5068837226
잡화,etc,밀키프로젝트,milky Cardzip DIY kit (밀키프로젝트/밀키카드집 카드월렛 키트),13200원,https://shop-phinf.pstatic.net/20200819_118/15977778863851C2NW_JPEG/35137720906605250_1247534829.jpg?type=m510,https://smartstore.naver.com/milkyproject/products/5068836641
잡화,etc,밀키프로젝트,milky Pouch DIY kit (밀키프로젝트/밀키파우치 미니월렛 키트),14300원,https://shop-phinf.pstatic.net/20200819_177/1597777499921yNo7s_JPEG/35137334424306464_695501339.JPG?type=m510,https://smartstore.naver.com/milkyproject/products/5068832575
잡화,etc,밀키프로젝트,milky B?ton DIY kit (밀키프로젝트/밀키바통 펜케이스 키트),17600원,https://shop-phinf.pstatic.net/20200403_221/1585847496058jwesa_JPEG/23209038681572168_1986162701.jpeg?type=m510,https://smartstore.naver.com/milkyproject/products/4876312971
